island,flipper_length_mm
Torgersen,181.0
Torgersen,186.0
Torgersen,195.0
Torgersen,193.0
Torgersen,190.0
Torgersen,181.0
Torgersen,195.0
Torgersen,182.0
Torgersen,191.0
Torgersen,198.0
Torgersen,185.0
Torgersen,195.0
Torgersen,197.0
Torgersen,184.0
Torgersen,194.0
Biscoe,174.0
Biscoe,180.0
Biscoe,189.0
Biscoe,185.0
Biscoe,180.0
Biscoe,187.0
Biscoe,183.0
Biscoe,187.0
Biscoe,172.0
Biscoe,180.0
Dream,178.0
Dream,178.0
Dream,188.0
Dream,184.0
Dream,195.0
Dream,196.0
Dream,190.0
Dream,180.0
Dream,181.0
Dream,184.0
Dream,182.0
Dream,195.0
Dream,186.0
Dream,196.0
Dream,185.0
Dream,190.0
Dream,182.0
Dream,190.0
Dream,191.0
Biscoe,186.0
Biscoe,188.0
Biscoe,190.0
Biscoe,200.0
Biscoe,187.0
Biscoe,191.0
Biscoe,186.0
Biscoe,193.0
Biscoe,181.0
Biscoe,194.0
Biscoe,185.0
Biscoe,195.0
Biscoe,185.0
Biscoe,192.0
Biscoe,184.0
Biscoe,192.0
Biscoe,195.0
Biscoe,188.0
Torgersen,190.0
Torgersen,198.0
Torgersen,190.0
Torgersen,190.0
Torgersen,196.0
Torgersen,197.0
Torgersen,190.0
Torgersen,195.0
Torgersen,191.0
Torgersen,184.0
Torgersen,187.0
Torgersen,195.0
Torgersen,189.0
Torgersen,196.0
Torgersen,187.0
Torgersen,193.0
Dream,191.0
Dream,194.0
Dream,190.0
Dream,189.0
Dream,189.0
Dream,190.0
Dream,202.0
Dream,205.0
Dream,185.0
Dream,186.0
Dream,187.0
Dream,208.0
Dream,190.0
Dream,196.0
Dream,178.0
Dream,192.0
Biscoe,192.0
Biscoe,203.0
Biscoe,183.0
Biscoe,190.0
Biscoe,193.0
Biscoe,184.0
Biscoe,199.0
Biscoe,190.0
Biscoe,181.0
Biscoe,197.0
Biscoe,198.0
Biscoe,191.0
Biscoe,193.0
Biscoe,197.0
Biscoe,191.0
Biscoe,196.0
Torgersen,188.0
Torgersen,199.0
Torgersen,189.0
Torgersen,189.0
Torgersen,187.0
Torgersen,198.0
Torgersen,176.0
Torgersen,202.0
Torgersen,186.0
Torgersen,199.0
Torgersen,191.0
Torgersen,195.0
Torgersen,191.0
Torgersen,210.0
Torgersen,190.0
Torgersen,197.0
Dream,193.0
Dream,199.0
Dream,187.0
Dream,190.0
Dream,191.0
Dream,200.0
Dream,185.0
Dream,193.0
Dream,193.0
Dream,187.0
Dream,188.0
Dream,190.0
Dream,192.0
Dream,185.0
Dream,190.0
Dream,184.0
Dream,195.0
Dream,193.0
Dream,187.0
Dream,201.0
Biscoe,211.0
Biscoe,230.0
Biscoe,210.0
Biscoe,218.0
Biscoe,215.0
Biscoe,210.0
Biscoe,211.0
Biscoe,219.0
Biscoe,209.0
Biscoe,215.0
Biscoe,214.0
Biscoe,216.0
Biscoe,214.0
Biscoe,213.0
Biscoe,210.0
Biscoe,217.0
Biscoe,210.0
Biscoe,221.0
Biscoe,209.0
Biscoe,222.0
Biscoe,218.0
Biscoe,215.0
Biscoe,213.0
Biscoe,215.0
Biscoe,215.0
Biscoe,215.0
Biscoe,215.0
Biscoe,210.0
Biscoe,220.0
Biscoe,222.0
Biscoe,209.0
Biscoe,207.0
Biscoe,230.0
Biscoe,220.0
Biscoe,220.0
Biscoe,213.0
Biscoe,219.0
Biscoe,208.0
Biscoe,208.0
Biscoe,208.0
Biscoe,225.0
Biscoe,210.0
Biscoe,216.0
Biscoe,222.0
Biscoe,217.0
Biscoe,210.0
Biscoe,225.0
Biscoe,213.0
Biscoe,215.0
Biscoe,210.0
Biscoe,220.0
Biscoe,210.0
Biscoe,225.0
Biscoe,217.0
Biscoe,220.0
Biscoe,208.0
Biscoe,220.0
Biscoe,208.0
Biscoe,224.0
Biscoe,208.0
Biscoe,221.0
Biscoe,214.0
Biscoe,231.0
Biscoe,219.0
Biscoe,230.0
Biscoe,229.0
Biscoe,220.0
Biscoe,223.0
Biscoe,216.0
Biscoe,221.0
Biscoe,221.0
Biscoe,217.0
Biscoe,216.0
Biscoe,230.0
Biscoe,209.0
Biscoe,220.0
Biscoe,215.0
Biscoe,223.0
Biscoe,212.0
Biscoe,221.0
Biscoe,212.0
Biscoe,224.0
Biscoe,212.0
Biscoe,228.0
Biscoe,218.0
Biscoe,218.0
Biscoe,212.0
Biscoe,230.0
Biscoe,218.0
Biscoe,228.0
Biscoe,212.0
Biscoe,224.0
Biscoe,214.0
Biscoe,226.0
Biscoe,216.0
Biscoe,222.0
Biscoe,203.0
Biscoe,225.0
Biscoe,219.0
Biscoe,228.0
Biscoe,215.0
Biscoe,228.0
Biscoe,215.0
Biscoe,210.0
Biscoe,219.0
Biscoe,208.0
Biscoe,209.0
Biscoe,216.0
Biscoe,229.0
Biscoe,213.0
Biscoe,230.0
Biscoe,217.0
Biscoe,230.0
Biscoe,222.0
Biscoe,214.0
Biscoe,215.0
Biscoe,222.0
Biscoe,212.0
Biscoe,213.0
Dream,192.0
Dream,196.0
Dream,193.0
Dream,188.0
Dream,197.0
Dream,198.0
Dream,178.0
Dream,197.0
Dream,195.0
Dream,198.0
Dream,193.0
Dream,194.0
Dream,185.0
Dream,201.0
Dream,190.0
Dream,201.0
Dream,197.0
Dream,181.0
Dream,190.0
Dream,195.0
Dream,181.0
Dream,191.0
Dream,187.0
Dream,193.0
Dream,195.0
Dream,197.0
Dream,200.0
Dream,200.0
Dream,191.0
Dream,205.0
Dream,187.0
Dream,201.0
Dream,187.0
Dream,203.0
Dream,195.0
Dream,199.0
Dream,195.0
Dream,210.0
Dream,192.0
Dream,205.0
Dream,210.0
Dream,187.0
Dream,196.0
Dream,196.0
Dream,196.0
Dream,201.0
Dream,190.0
Dream,212.0
Dream,187.0
Dream,198.0
Dream,199.0
Dream,201.0
Dream,193.0
Dream,203.0
Dream,187.0
Dream,197.0
Dream,191.0
Dream,203.0
Dream,202.0
Dream,194.0
Dream,206.0
Dream,189.0
Dream,195.0
Dream,207.0
Dream,202.0
Dream,193.0
Dream,210.0
Dream,198.0
